"","City","Movehub.Rating","Purchase.Power","Health.Care","Pollution","Quality.of.Life","Crime.Rating","city_id"
"1","Caracas",65.18,11.25,44.44,83.45,8.61,85.7,1
"2","Johannesburg",84.08,53.99,59.98,47.39,51.26,83.93,2
"3","Fortaleza",80.17,52.28,45.46,66.32,36.68,78.65,3
"4","Saint Louis",85.25,80.4,77.29,31.33,87.51,78.13,4
"5","Mexico City",75.07,24.28,61.76,18.95,27.91,77.86,5
"6","Detroit",70.63,73.81,63.05,83.45,50.99,76.69,6
"7","Porto Alegre",70.46,19.07,51.01,86.16,31.87,76.46,7
"8","Noida",82.34,57.88,56.34,89.1,42.7,75,8
"9","Karachi",67.81,14.63,51.57,69.63,18.5,74.36,9
"10","Rotterdam",80.68,50.9,63.26,20.36,67.77,74.27,10
"11","Nairobi",71.12,15.82,61.34,39.16,14.36,71.88,11
"12","Las Vegas",84.88,80.46,66.52,59.73,60.5,70.57,12
"13","Kuala Lumpur",77.88,37.09,56.21,69.65,42.4,68.91,13
"14","Philadelphia",83.31,68.77,54.17,38.64,65.53,68.58,14
"15","Cape Town",87.95,60.36,71.67,75.98,78.73,68.06,15
"16","Pretoria",80.56,46.74,71.11,70.13,61.44,68.06,16
"17","Rio De Janeiro",73.44,22.13,61.67,84.51,21.32,67.93,17
"18","Manila",68.31,14.8,80.56,65.22,13.14,66.36,18
"19","Sao Paulo",75.4,24.24,63.79,72.04,30.57,66.31,19
"20","Los Angeles",86.86,62.75,68.61,75.2,62.82,65.74,20
"21","Gurgaon",77.88,37.08,77.18,27.78,42.77,65.51,21
"22","Lima",73.19,23.22,53.7,58.49,22.67,65.31,22
"23","Miami",84.43,57.79,64.44,22.45,74.77,64.85,23
"24","Lodz",73.32,26.37,53.21,37.21,46.29,64.51,24
"25","Rome",79.07,32.72,61.64,19.84,26.8,62.34,25
"26","Santo Domingo",74.6,28.82,62.5,18.59,41.88,62.19,26
"27","Houston",85.24,71.96,79.44,65.21,74.08,61.72,27
"28","Tampa",84.27,75.72,56.94,49.89,80.75,60.73,28
"29","Lagos",72.47,14.91,62.04,26.63,19.48,60.44,29
"30","Glasgow",84.23,85,90.55,0,80,60,30
"31","Dallas",84.71,76.18,69.99,83.89,80.56,59.9,31
"32","Buenos Aires",77.29,29.29,79.17,47.26,39.78,59.46,32
"33","Dhaka",71.58,21.32,20.83,62.14,13.48,59.06,33
"34","Baltimore",84.28,78.78,72.08,77.98,82,58.85,34
"35","Athens",76.78,26.05,46.11,27.44,30.57,57.49,35
"36","Saint Petersburg",73.1,24.82,46.34,77.98,25.97,56.96,36
"37","Naples",76.27,35.38,41.67,12.01,42.92,56.67,37
"38","Milan",81.9,43.43,71.36,22.09,40.8,56.2,38
"39","Atlanta",84.92,80.83,61.11,63.09,80.51,56.04,39
"40","Orlando",84.39,71.07,76.01,70.75,82.33,55.07,40
"41","Chicago",83.01,66.77,62.92,22.98,80.71,54.52,41
"42","Geneva",83.27,61.22,74.88,29.43,82.76,54.36,42
"43","Kiev",69.98,18.88,36.48,67.36,24.05,54.19,43
"44","Tehran",72.13,18.09,43.98,87.62,14.33,54.16,44
"45","Brussels",84.8,54.41,81.35,6.79,65.42,53.79,45
"46","Paris",95.92,47.08,83.33,59.18,52.62,53.75,46
"47","Kharkiv",68.99,17.11,35.06,67.05,30.76,53.75,47
"48","Moscow",76.35,24.94,42.3,30.03,18.65,53.19,48
"49","Delhi",77.12,34.39,74.99,73.03,42.45,52.56,49
"50","Lahore",67.32,12.45,48.94,30.55,28.52,51.98,50
"51","Hanoi",66.77,12.22,20.83,24.02,5.29,51.81,51
"52","Cordoba",73.76,27.56,75.24,48.76,47.68,51.56,52
"53","Washington",81.74,56.61,64.44,30.55,76.92,51.43,53
"54","San Antonio",83.76,74.78,60.97,59.19,84.88,51.41,54
"55","Christchurch",83.36,47.1,83.86,22.2,76.6,51.3,55
"56","Bangalore",77.92,38.67,69.38,80.94,52.11,51.03,56
"57","Belo Horizonte",71.79,21.77,57.26,59.73,36.26,50.99,57
"58","Auckland",86.43,49.02,71.85,30.03,66.98,50.38,58
"59","Montevideo",71.69,21.56,59.72,31.72,44.63,50.16,59
"60","London",100,53.17,69.53,57.95,47.89,50.14,60
"61","Perth",95.38,62.11,80.56,23.53,74.62,50.01,61
"62","Muscat",86.3,77.16,62.5,64.65,58.99,50,62
"63","Gaborone",75.32,30.98,27.78,30.55,31.77,50,63
"64","Colombo",72.52,20.18,75,33.59,26.68,50,64
"65","Cairo",67.93,11.9,56.48,86.16,17.25,48.81,65
"66","Melbourne",92.58,55.48,76.67,30.28,68.99,48.75,66
"67","Quito",67.15,14.24,32.41,14.76,46.43,48.36,67
"68","Dublin",90.45,50.13,41.12,30.54,65.27,48.31,68
"69","Jakarta",69.15,17.38,38.33,57.91,15.66,48.27,69
"70","Sofia",71.97,23.03,51.43,26.63,37.72,48.26,70
"71","Tirana",69.78,17.8,44.44,80.84,36.81,47.99,71
"72","Beijing",74.17,22.97,58.9,57.18,25.69,47.61,72
"73","Birmingham",80.85,46.41,75.23,66.53,75.4,47.51,73
"74","New York",90.53,55.56,51.39,12.01,61.94,47.33,74
"75","Lyon",84.78,56.05,88.65,37.21,71.13,47.27,75
"76","Nice",82.55,49.52,87.95,59.19,68.34,47.27,76
"77","Toulouse",82.1,54.47,81.01,36.23,66.66,47.27,77
"78","Strasbourg",84.18,72.23,42.81,39.91,66.5,47.27,78
"79","Marseille",81.62,57.05,77.53,25.59,59.87,47.27,79
"80","Cebu",66.93,12.9,73.7,35.9,41.21,46.88,80
"81","Ulaanbaatar",68.29,15.35,43.06,55.87,24.5,46.87,81
"82","Amman",74.4,21.22,75.37,61.63,39.57,46.74,82
"83","Haifa",78.84,44.03,72.69,29.86,52.08,46.59,83
"84","Jerusalem",78.28,37.22,79.4,64.44,50.87,46.59,84
"85","Curitiba",76.15,34.97,59.03,33.59,58.67,46.27,85
"86","Medellin",70.14,19.2,85.88,37.27,39.7,46.02,86
"87","Bogota",70.6,14.52,73.89,14.54,29.33,46.02,87
"88","Brisbane",87.63,53.72,88.89,22.19,77.07,45.84,88
"89","Pattaya",70.69,19.51,91.46,29.86,46.01,45.52,89
"90","Antalya",71.91,22.91,59.55,30.55,40.51,44.53,90
"91","Nottingham",80.42,53.57,79.63,24.54,75.88,44.38,91
"92","Honolulu",81.31,58.54,57.03,30.28,79.58,44.14,92
"93","Alicante",82.83,44.69,75.61,28.19,72.53,44.01,93
"94","Kolkata",75.35,28.8,31.29,72.59,25.64,43.33,94
"95","Gold Coast",82.03,56.11,82.23,30.55,81.31,43.02,95
"96","Bristol",79.66,39.76,88.89,36.22,67.91,42.71,96
"97","Austin",84.86,69.22,73.61,28.84,86.51,42.5,97
"98","Victoria",81.44,52.91,79.63,68.93,80.87,42.45,98
"99","Istanbul",80.22,34.42,80.38,44.98,45.67,42.36,99
"100","Santiago",74.6,29.96,66.11,92.42,39.13,42.33,100
"101","New Orleans",82.56,66.32,65.83,14.76,81.2,42.19,101
"102","Seattle",85.38,78.46,75.46,32.9,84.1,42.03,102
"103","Thessaloniki",73.76,24.58,61.94,34.62,43.61,41.64,103
"104","Regina",82.07,60.8,60.24,84.07,79.98,41.56,104
"105","Barcelona",83.37,45.68,58.47,71.75,47.18,41.47,105
"106","Phoenix",86.37,80.54,64.9,38.77,82.55,41.41,106
"107","Pune",79.2,37.96,66.62,79.24,43.84,41.37,107
"108","Adelaide",87.29,72.03,56.25,12.01,91.54,41.32,108
"109","Helsinki",81.34,54.41,74.35,29.14,75.85,40.96,109
"110","Galway",83.19,58.59,52.97,52.47,77.85,40.78,110
"111","Boston",82.2,59.28,78.04,61.77,82.81,40.69,111
"112","Canberra",83.23,63.26,91.9,11.48,93.05,40.36,112
"113","Minneapolis",83.47,69.91,62.35,77.94,83.79,40.36,113
"114","Lisbon",77.63,32.48,62.38,28.78,56.08,40.08,114
"115","Florence",76.63,35.31,67.11,29.44,53.73,39.58,115
"116","San Diego",83.29,71.37,67.22,32.64,80.18,39.55,116
"117","Madrid",85.37,54.07,73.51,55.77,59.87,39.34,117
"118","Portland",84.23,72.6,72.77,31.98,88.76,39.22,118
"119","Casablanca",68.27,13.2,53.7,62.97,48.69,38.28,119
"120","Nicosia",78.76,39.03,72.04,6.27,57.58,38.22,120
"121","Belgrade",71.65,21.46,52.53,77.08,35.69,37.97,121
"122","Chiang Mai",68.64,15.89,85.91,30.55,37.5,37.78,122
"123","Porto",76.17,31.28,61.51,67.64,58.95,37.51,123
"124","Hyderabad",79.35,39.93,63.89,89.72,54.97,36.9,124
"125","Baku",66.42,11.38,28.7,49.47,17.2,36.69,125
"126","Varna",71.11,20.34,50.23,80.84,36.03,36.46,126
"127","Bangkok",74.21,20.82,95.96,60.39,37.54,36.1,127
"128","Cork",83.55,47.98,64.32,18.48,76.37,35.83,128
"129","Hamilton",81.34,56.52,86.67,81.68,84.83,35.68,129
"130","Lausanne",87.21,90.77,65.85,87.62,73.21,35.55,130
"131","Oslo",82.09,52.51,88.19,29.39,71.27,35.53,131
"132","Mumbai",77.13,28.83,58.41,70.49,26.43,34.63,132
"133","Prague",76.64,35.32,64.15,41.53,58.85,34.54,133
"134","Bratislava",74.76,29.29,59.72,30.55,56.18,34.38,134
"135","Budapest",74.13,24.59,60.42,68.38,46.58,34.18,135
"136","Belfast",82.15,52.8,33.33,29.24,80.55,34.06,136
"137","Malmo",81.37,52.56,87.96,83.45,60.32,33.97,137
"138","Bucharest",72.28,22.85,52.05,74.57,29.45,33.41,138
"139","Chennai",78.12,32.91,67.49,78.07,43.89,33.22,139
"140","Brighton",80.61,50.56,58.33,50.25,62.62,33.12,140
"141","Ljubljana",75.35,32.28,71.76,85.59,61.87,32.94,141
"142","Darwin",79.63,49.51,75.28,6.78,78.52,32.8,142
"143","Sydney",94.53,54.82,71.27,18.48,74.32,32.8,143
"144","Copenhagen",82.85,49.33,85.14,30.54,75.23,32.39,144
"145","Riyadh",83.22,63.22,54.59,11.48,67.72,32.39,145
"146","Zagreb",73.84,26.71,52.78,83.45,47.59,32.29,146
"147","San Francisco",85.38,63.54,75.46,17.06,79.08,32.25,147
"148","Vadodara",76.54,36.37,77.87,92.42,54.98,32.03,148
"149","Warsaw",76.76,35.77,63.33,86.16,51.82,32.03,149
"150","Montreal",89.28,66.99,66.77,6.27,78.55,31.63,150
"151","Edmonton",85.94,67.19,78.83,22.79,89.58,31.14,151
"152","Edinburgh",83.92,58.77,60.64,13.94,75.03,30.51,152
"153","Charlotte",84.46,77.18,72.08,67.05,84.39,30.21,153
"154","Asheville",83.17,70.51,79.02,30.55,81.34,30.21,154
"155","Rochester",82.07,60.78,68.6,31.6,78.05,30.21,155
"156","Indianapolis",84.52,80.72,36.66,82.08,77.13,30.21,156
"157","Newark",84.97,84.39,79.72,62.14,73.21,30.21,157
"158","Vancouver",82.59,48.06,83.73,18.48,71.89,30.03,158
"159","The Hague",83.23,68.28,66.74,37.21,79.99,29.76,159
"160","Amsterdam",84,47.18,68.06,53.42,72.85,29.76,160
"161","Utrecht",79.7,49.87,70.9,18.27,72.61,29.76,161
"162","Calgary",85.77,63.9,75.33,23.53,87.57,29.53,162
"163","Leeds",82.57,63.88,81.48,18.48,78.06,28.91,163
"164","Liverpool",81.23,53.78,82.86,55.35,83.14,28.7,164
"165","Basel",84.2,78.17,79.74,59.18,88.27,28.12,165
"166","Vilnius",72.45,24.17,77.31,82.08,64.19,27.93,166
"167","Frankfurt",82.75,62.6,65.33,14.54,88.04,27.55,167
"168","Vienna",81.84,51.21,79.86,22.39,77.21,27.45,168
"169","Toronto",88.42,61.44,66.11,8.95,77.02,27.4,169
"170","Wellington",81.06,49.11,73.72,30.55,79.83,27.38,170
"171","Doha",90.73,81.96,68.06,83.45,80.28,27.17,171
"172","Cologne",82.18,59.18,67.88,68.41,82.82,27.08,172
"173","Minsk",68.41,16.14,50,66.89,51.66,26.82,173
"174","Valencia",81.06,49.11,72.07,35.24,64.89,26.04,174
"175","Addis Ababa",59.88,6.38,63.89,85.59,28.41,26.04,175
"176","Izmir",76.07,32.12,57.33,30.55,42.9,25.91,176
"177","Stockholm",82.85,51.03,82.5,13.93,78.58,25.62,177
"178","Gothenburg",74.63,26.95,68.24,92.42,71.51,25.62,178
"179","Hamburg",84.66,61.13,82.41,67.78,87.18,25.52,179
"180","Nashville",80.61,80.3,60.3,0,80.5,25.5,180
"181","Aberdeen",81.89,49.7,82.86,34.31,76.77,24.22,181
"182","Leicester",83.36,71.88,60.64,18.04,76.19,24.22,182
"183","Oxford",80.94,50.33,66.2,11.48,72.09,24.22,183
"184","Cambridge",82.15,54.76,81.48,57.18,70.61,24.22,184
"185","Manchester",81.89,62.31,61.42,0,73,24.2,185
"186","Berlin",89.54,68.72,65.48,16.05,91.17,24.18,186
"187","Stuttgart",82.48,65.82,80.38,16.89,90.4,23.96,187
"188","Limassol",78.3,40.13,77.6,26.74,74.83,23.75,188
"189","Ottawa",87.69,91.85,66.02,33.55,86.11,22.25,189
"190","Sliema",81.05,52.84,72.22,67.78,65.03,22.19,190
"191","Venice",78.82,45.69,72.67,11.48,70.34,21.48,191
"192","Seoul",82.43,54.3,75,85.59,60.28,21.35,192
"193","Stavanger",79.41,46.59,62.48,29.13,76.5,20.83,193
"194","Singapore",81.07,33.14,58.82,18.48,42.65,19.96,194
"195","Trondheim",80.36,51.22,81.67,14.53,82.67,19.8,195
"196","Manama",77.56,40.26,72.22,17.06,63.85,19.79,196
"197","Dubai",98.44,69.64,67.78,30.81,85.16,19.36,197
"198","Luxembourg",85.85,76.44,59.72,57.17,81.41,18.75,198
"199","Ahmedabad",76.16,33.69,61.67,68.21,57.01,18.18,199
"200","Braga",75.07,30.21,69.71,14.54,69.91,18.12,200
"201","Davao",69.29,17.63,69,77.98,30.66,17.71,201
"202","Indore",76.38,35.79,31.34,59.42,48.53,16.93,202
"203","Kochi",74.27,28.98,70.23,71.78,45.13,16.93,203
"204","Bergen",80.74,51.24,84.95,18.4,83.76,16.67,204
"205","Shanghai",75.69,26.74,78.7,61.74,31.66,16.51,205
"206","Hong Kong",86.37,50.07,67.59,14.88,59.5,16.31,206
"207","Taipei",77.42,38.19,88.89,87.62,52.35,15.71,207
"208","Zurich",85.89,79.58,78.33,18.04,97.91,15.35,208
"209","Aachen",81.64,60.55,73.25,11.69,90.52,15.34,209
"210","Dresden",84.75,82.6,78.29,16.89,90.21,15.34,210
"211","Munich",86,63.28,88.43,43.08,90.08,15.34,211
"212","Dusseldorf",83.45,72.52,75.98,8.61,88.02,15.34,212
"213","Tokyo",80,47.57,71.53,30.54,69.29,13.91,213
"214","Abu Dhabi",86.4,68.03,48.02,53.42,80.8,10.86,214
"215","Marbella",81.96,60.14,83.64,32.27,75.24,9.11,215
"216","Malaga",84.3,45.77,69.17,30.55,67.9,9.11,216
